City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
58,Bluff,NZ,-46.6,168.3333,45.81,78,9,9.48,clear sky
59,Ribeira Grande,PT,38.5167,-28.7,65.8,96,96,11.25,overcast clouds
60,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,9.22,broken clouds
61,Broome,US,42.2506,-75.833,72.55,37,100,1.99,overcast clouds
62,Berezovyy,RU,51.6667,135.7,66.09,45,10,2.06,clear sky
63,Batticaloa,LK,7.7102,81.6924,78.21,83,100,6.55,overcast clouds
64,Hithadhoo,MV,-0.6,73.0833,82.87,69,61,5.44,broken clouds
65,Mar Del Plata,AR,-38.0023,-57.5575,51.1,91,96,0.0,fog
66,Sorland,NO,67.667,12.6934,44.46,66,78,20.87,broken clouds
67,Suileng,CN,47.25,127.0833,57.69,59,50,18.88,light rain
68,Nanortalik,GL,60.1432,-45.2371,42.91,76,88,2.59,overcast clouds
69,Bredasdorp,ZA,-34.5322,20.0403,54.48,79,8,4.12,clear sky
70,Atar,MR,20.5169,-13.0499,91.94,13,100,15.75,overcast clouds
71,Dalton,US,34.7698,-84.9702,85.51,51,0,8.05,clear sky
72,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,47,75,15.66,broken clouds
73,Northam,GB,51.0333,-4.2167,55.26,96,89,2.82,overcast clouds
74,Polyarnyy,RU,69.1989,33.4478,44.22,96,100,17.85,light rain
75,Uddevalla,SE,58.3478,11.9424,53.08,91,100,1.92,overcast clouds
76,Sankt Florian,AT,48.2057,14.3784,62.83,90,100,12.66,overcast clouds
77,Carnarvon,AU,-24.8667,113.6333,65.21,51,0,7.0,clear sky
78,San Rafael,AR,-34.6177,-68.3301,52.36,47,32,5.39,scattered clouds
79,Kavaratti,IN,10.5669,72.642,82.74,76,100,12.26,overcast clouds
80,Kommunar,RU,59.6206,30.39,56.73,80,90,7.58,overcast clouds
81,Sarh,TD,9.1429,18.3923,80.51,89,0,0.0,clear sky
82,Kutum,SD,14.2,24.6667,80.85,16,75,10.2,broken clouds
83,Bosaso,SO,11.2842,49.1816,86.76,59,94,3.36,overcast clouds
84,Slave Lake,CA,55.2834,-114.769,69.78,28,0,17.27,clear sky
85,Talaja,IN,21.35,72.05,82.96,67,40,9.78,scattered clouds
86,Santa Comba,ES,43.0331,-8.8093,59.09,95,97,4.83,overcast clouds
87,Mahebourg,MU,-20.4081,57.7,73.69,78,75,8.05,broken clouds
88,Pangnirtung,CA,66.1451,-65.7125,37.9,87,47,0.94,scattered clouds
89,Luau,AO,-10.7073,22.2247,54.03,55,0,4.83,clear sky
90,Saint-Augustin,CA,51.226,-58.6502,51.17,76,100,9.53,overcast clouds
91,Alcanena,PT,39.459,-8.6689,62.02,94,54,6.29,broken clouds
92,Shu,KZ,43.5983,73.7614,61.11,40,38,5.32,scattered clouds
93,Batemans Bay,AU,-35.7167,150.1833,54.1,57,30,15.37,scattered clouds
94,Ubala,CO,4.7478,-72.5369,75.69,88,53,3.74,broken clouds
95,Jamestown,US,42.097,-79.2353,67.95,36,100,5.99,overcast clouds
96,General Roca,AR,-39.0333,-67.5833,52.63,45,18,11.74,few clouds
97,Suraabad,AZ,40.8192,49.4687,70.16,65,0,4.61,clear sky
98,Port Alfred,ZA,-33.5906,26.891,58.17,89,10,15.39,clear sky
99,Lompoc,US,34.6391,-120.4579,88.57,72,0,25.99,clear sky
100,Port Macquarie,AU,-31.4333,152.9167,56.89,58,27,6.53,scattered clouds
101,Bengkulu,ID,-3.8004,102.2655,76.8,83,100,3.83,overcast clouds
102,Teya,RU,60.3778,92.6267,43.39,71,100,1.45,overcast clouds
