City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Petropavlovsk-Kamchatskiy,RU,2022-06-04 22:51:12,53.0452,158.6483,64.99,37,0,4.47
120,Bredasdorp,ZA,2022-06-04 22:51:12,-34.5322,20.0403,55.92,81,100,5.5
121,Santa Rosalia,MX,2022-06-04 22:51:13,27.3167,-112.2833,87.75,34,1,0.43
122,Codrington,AU,2022-06-04 22:51:13,-38.2667,141.9667,46.04,84,58,15.35
123,Lorengau,PG,2022-06-04 22:51:14,-2.0226,147.2712,83.35,65,39,6.29
124,Synya,RU,2022-06-04 22:51:14,65.3718,58.0387,42.39,54,4,2.33
125,Padang,ID,2022-06-04 22:51:14,-0.9492,100.3543,75.25,85,89,3.67
126,Ilulissat,GL,2022-06-04 22:51:15,69.2167,-51.1,38.77,63,62,5.57
127,Anticala,PH,2022-06-04 22:51:15,9.0044,125.6453,78.69,89,99,2.66
128,Mahebourg,MU,2022-06-04 22:51:16,-20.4081,57.7,71.89,78,40,16.11
129,Cabo San Lucas,MX,2022-06-04 22:48:12,22.8909,-109.9124,84.61,62,1,14.45
130,East London,ZA,2022-06-04 22:49:51,-33.0153,27.9116,63.25,67,89,13.06
131,Longyearbyen,SJ,2022-06-04 22:51:16,78.2186,15.6401,34.12,92,84,6.49
132,Turukhansk,RU,2022-06-04 22:51:17,65.8167,87.9833,40.44,78,100,7.45
133,Mana,GF,2022-06-04 22:51:17,5.6592,-53.7767,77.18,90,83,8.14
134,Lavrentiya,RU,2022-06-04 22:51:17,65.5833,-171.0,42.75,76,72,8.72
135,Urusha,RU,2022-06-04 22:51:18,54.05,122.9,61.74,63,72,3.42
136,Nalut,LY,2022-06-04 22:51:19,30.3333,10.85,79.97,22,0,13.62
137,Port Hawkesbury,CA,2022-06-04 22:52:19,45.6169,-61.3485,55.58,82,0,9.22
138,Dikson,RU,2022-06-04 22:52:20,73.5069,80.5464,29.3,96,99,8.08
139,Dong Hoi,VN,2022-06-04 22:52:20,17.4833,106.6,81.54,78,83,9.53
140,Katsuura,JP,2022-06-04 22:52:20,35.1333,140.3,69.51,72,100,9.22
141,Nanortalik,GL,2022-06-04 22:52:21,60.1432,-45.2371,44.62,57,52,2.68
142,Gostyn,PL,2022-06-04 22:52:21,51.8825,17.0123,65.05,88,97,6.62
143,Nemuro,JP,2022-06-04 22:52:22,43.3236,145.575,44.73,94,100,20.8
144,Tiznit,MA,2022-06-04 22:52:22,29.5833,-9.5,62.24,77,37,4.12
145,Bandarbeyla,SO,2022-06-04 22:52:23,9.4942,50.8122,78.75,79,15,19.64
146,College,US,2022-06-04 22:52:23,64.8569,-147.8028,77.47,28,75,12.66
147,Nosy Varika,MG,2022-06-04 22:52:23,-20.5833,48.5333,69.21,86,61,2.35
148,Brae,GB,2022-06-04 22:52:24,60.3964,-1.353,49.01,94,41,6.89
149,Thompson,CA,2022-06-04 22:52:24,55.7435,-97.8558,48.36,66,75,5.75
150,Juneau,US,2022-06-04 22:52:25,58.3019,-134.4197,60.8,92,75,23.02
151,Lakatoro,VU,2022-06-04 22:52:25,-16.0999,167.4164,82.24,68,68,14.81
152,Victoria,HK,2022-06-04 22:47:28,22.2855,114.1577,84.96,84,98,11.99
153,Sokoto,NG,2022-06-04 22:51:10,13.0609,5.239,92.64,25,77,7.54
154,Asfi,MA,2022-06-04 22:52:26,32.2994,-9.2372,66.4,79,20,19.3
155,Itaituba,BR,2022-06-04 22:52:26,-4.2761,-55.9836,74.07,96,82,2.46
156,Shingu,JP,2022-06-04 22:52:27,33.7333,135.9833,69.57,81,100,2.46
157,Staszow,PL,2022-06-04 22:52:27,50.5631,21.1659,60.62,98,100,4.68
158,Severo-Kurilsk,RU,2022-06-04 22:52:28,50.6789,156.125,46.33,82,65,4.36
159,Alice Springs,AU,2022-06-04 22:52:28,-23.7,133.8833,54.95,88,100,5.75
160,Emba,KZ,2022-06-04 22:52:29,48.8264,58.1442,65.12,68,14,6.76
161,Georgetown,MY,2022-06-04 22:52:29,5.4112,100.3354,79.95,89,40,5.01
162,Goianapolis,BR,2022-06-04 22:52:09,-16.5106,-49.0239,76.28,53,19,6.31
163,Igurubi,TZ,2022-06-04 22:52:30,-4.0,33.7,67.57,45,77,10.74
164,Sao Filipe,CV,2022-06-04 22:52:30,14.8961,-24.4956,74.57,76,3,6.98
165,Chara,RU,2022-06-04 22:52:30,56.9064,118.2631,61.09,58,77,1.34
166,Iqaluit,CA,2022-06-04 22:52:31,63.7506,-68.5145,49.73,57,20,2.3
167,Sola,VU,2022-06-04 22:52:31,-13.8833,167.55,81.61,66,48,20.4
168,Kaeo,NZ,2022-06-04 22:52:32,-35.1,173.7833,62.8,65,97,8.81
169,Ambon,ID,2022-06-04 22:52:32,-3.6954,128.1814,75.34,100,40,3.44
170,Yumen,CN,2022-06-04 22:52:33,40.2833,97.2,65.41,23,41,5.99
171,Srednekolymsk,RU,2022-06-04 22:52:33,67.45,153.6833,51.49,31,73,10.94
172,Villa Rica,US,2022-06-04 22:52:34,33.7321,-84.9191,86.4,55,27,4.7
173,Garmsar,IR,2022-06-04 22:52:34,35.2182,52.3409,79.77,21,0,4.29
174,Souillac,MU,2022-06-04 22:52:35,-20.5167,57.5167,71.98,78,40,16.11
175,Coquimbo,CL,2022-06-04 22:52:35,-29.9533,-71.3436,56.93,100,75,9.22
176,Jalu,LY,2022-06-04 22:52:35,29.0331,21.5482,81.48,38,0,13.13
177,Paamiut,GL,2022-06-04 22:52:36,61.994,-49.6678,40.17,73,0,8.32
178,Toora-Khem,RU,2022-06-04 22:52:36,52.4675,96.11,44.49,87,96,4.76
179,Bethel,US,2022-06-04 22:52:37,41.3712,-73.414,76.3,52,22,1.01
180,Balkanabat,TM,2022-06-04 22:52:37,39.5108,54.3671,84.69,14,0,12.5
181,Saldanha,ZA,2022-06-04 22:53:38,-33.0117,17.9442,55.45,89,100,11.74
182,Upernavik,GL,2022-06-04 22:53:38,72.7868,-56.1549,31.91,80,4,13.58
183,Gayeri,BF,2022-06-04 22:53:39,12.6497,0.4931,90.93,28,44,7.05
184,Carnarvon,AU,2022-06-04 22:53:39,-24.8667,113.6333,67.5,42,100,13.91
185,Puerto Escondido,MX,2022-06-04 22:53:39,15.85,-97.0667,83.75,72,24,5.86
186,Atotonilco El Grande,MX,2022-06-04 22:53:40,20.2833,-98.6667,72.48,40,28,14.05
187,Doctor Juan Manuel Frutos,PY,2022-06-04 22:53:40,-25.3667,-55.8,60.13,96,80,6.11
188,Nantucket,US,2022-06-04 22:53:41,41.2835,-70.0995,60.91,88,20,11.5
189,Sao Jose Da Coroa Grande,BR,2022-06-04 22:52:14,-8.8978,-35.1478,76.73,81,92,8.66
190,Vao,NC,2022-06-04 22:53:41,-22.6667,167.4833,73.2,69,52,5.21
191,Ashland,US,2022-06-04 22:53:42,40.8167,-82.2665,69.96,45,8,7.7
192,Dong Xoai,VN,2022-06-04 22:53:42,11.5333,106.9167,73.18,96,70,2.33
193,Kloulklubed,PW,2022-06-04 22:53:43,7.0419,134.2556,79.3,70,35,5.99
194,Verkhoyansk,RU,2022-06-04 22:53:43,67.5447,133.385,72.09,35,17,10.98
195,Faanui,PF,2022-06-04 22:53:44,-16.4833,-151.75,79.72,75,52,13.53
196,Port Blair,IN,2022-06-04 22:53:44,11.6667,92.75,78.84,89,75,2.3
197,Prestea,GH,2022-06-04 22:53:44,5.4327,-2.1428,75.09,97,100,3.42
198,Villa Carlos Paz,AR,2022-06-04 22:53:45,-31.4241,-64.4978,53.89,42,0,8.01
199,Sorland,NO,2022-06-04 22:53:45,67.667,12.6934,44.46,70,84,31.21
200,Tuatapere,NZ,2022-06-04 22:53:46,-46.1333,167.6833,48.02,76,100,6.46
201,Mariestad,SE,2022-06-04 22:53:46,58.7097,13.8237,55.51,77,59,6.24
202,Vila Velha,BR,2022-06-04 22:52:18,-20.3297,-40.2925,69.75,91,75,12.66
203,Genhe,CN,2022-06-04 22:53:47,50.7833,121.5167,55.96,58,67,11.45
204,Victor Harbor,AU,2022-06-04 22:53:47,-35.5667,138.6167,48.69,76,95,18.54
205,Belaya Gora,RU,2022-06-04 22:53:47,68.5333,146.4167,59.81,43,49,8.93
206,Karratha,AU,2022-06-04 22:53:48,-20.7377,116.8463,66.06,60,0,13.0
207,Luwingu,ZM,2022-06-04 22:53:48,-10.2621,29.9271,48.88,84,10,3.94
208,Babanka,UA,2022-06-04 22:53:49,48.7097,30.4483,60.37,67,100,7.38
209,Tadine,NC,2022-06-04 22:53:49,-21.55,167.8833,75.11,68,16,3.85
210,Rudnaya Pristan,RU,2022-06-04 22:53:50,44.3614,135.8116,48.27,71,73,6.33
211,Sadovoye,RU,2022-06-04 22:53:50,47.7764,44.5089,71.35,58,72,12.06
212,Tooele,US,2022-06-04 22:53:51,40.5308,-112.2983,78.85,38,40,13.8
213,Igunga,TZ,2022-06-04 22:53:51,-4.2833,33.8833,64.96,50,61,5.93
214,Salalah,OM,2022-06-04 22:53:51,17.0151,54.0924,81.21,79,97,2.04
215,Zhengjiatun,CN,2022-06-04 22:53:52,43.5064,123.5064,64.38,84,100,22.06
216,Saint Anthony,US,2022-06-04 22:53:52,45.0205,-93.218,72.84,53,75,5.75
217,Belmonte,BR,2022-06-04 22:53:53,-15.8631,-38.8828,73.8,84,64,17.6
218,Healdsburg,US,2022-06-04 22:53:53,38.6105,-122.8692,75.97,49,100,3.0
219,Ostrovnoy,RU,2022-06-04 22:53:54,68.0531,39.5131,49.66,92,61,9.46
220,Beroroha,MG,2022-06-04 22:53:54,-21.6667,45.1667,70.56,66,52,5.17
221,Antofagasta,CL,2022-06-04 22:49:21,-23.65,-70.4,67.21,59,97,2.89
